_id,Date_Collected,LTC_Home,LTC_Home_Number,City,PHU,1st_dose_percentage_staff_vaccination_rate,2nd_dose_percentage_staff_vaccination_rate
46,2021-08-31T00:00:00,Centre d'Accueil Roger Seguin,2988,Clarence Creek,EASTERN ONTARIO,0.89,0.87
47,2021-08-31T00:00:00,Champlain Long Term Care Residence,925,L'orignal,EASTERN ONTARIO,0.99,0.99
48,2021-08-31T00:00:00,Dundas Manor Nursing Home,2674,Winchester,EASTERN ONTARIO,1,1
49,2021-08-31T00:00:00,Foyer St-Viateur Nursing Home,2746,Limoges,EASTERN ONTARIO,0.89,0.87
50,2021-08-31T00:00:00,Glen-Stor-Dun Lodge,M529,Cornwall,EASTERN ONTARIO,0.75,0.73
51,2021-08-31T00:00:00,Heartwood,2088,Cornwall,EASTERN ONTARIO,0.88,0.82
52,2021-08-31T00:00:00,Lancaster Long Term Care Residence,2680,Lancaster,EASTERN ONTARIO,0.9,0.84
53,2021-08-31T00:00:00,Maxville Manor,3000,Maxville,EASTERN ONTARIO,0.89,0.89
54,2021-08-31T00:00:00,Parisien Manor,1131,Cornwall,EASTERN ONTARIO,0.89,0.87
55,2021-08-31T00:00:00,Pinecrest (Plantagenet),2797,Plantagenet,EASTERN ONTARIO,0.81,0.77
56,2021-08-31T00:00:00,Residence Prescott et Russell,M567,Hawkesbury,EASTERN ONTARIO,0.8,0.76
57,2021-08-31T00:00:00,Sandfield Place,2778,Cornwall,EASTERN ONTARIO,0.94,0.93
58,2021-08-31T00:00:00,St. Jacques Nursing Home,2691,Embrun,EASTERN ONTARIO,0.96,0.93
59,2021-08-31T00:00:00,St. Joseph's Continuing Care Centre,3012,Cornwall,EASTERN ONTARIO,0.9,0.85
60,2021-08-31T00:00:00,The Palace,2642,Alexandria,EASTERN ONTARIO,0.91,0.88
61,2021-08-31T00:00:00,Tsiionkwanonhsote,2800,Akwesasne,EASTERN ONTARIO,0.76,0.75
62,2021-08-31T00:00:00,Woodland Villa,2743,Long Sault,EASTERN ONTARIO,0.87,0.83
63,2021-08-31T00:00:00,Brucelea Haven Long Term Care,M507,Walkerton,GREY-BRUCE,0.8,0.76
64,2021-08-31T00:00:00,Country Lane Long Term Care Residence,1027,Chatsworth,GREY-BRUCE,0.83,0.81
65,2021-08-31T00:00:00,Elgin Abbey Nursing Home,2725,Chesley,GREY-BRUCE,0.94,0.94
66,2021-08-31T00:00:00,Errinrung Long Term Care Home,2513,Thornbury,GREY-BRUCE,0.81,0.81
67,2021-08-31T00:00:00,Gateway Haven Long Term Care Home,M526,Wiarton,GREY-BRUCE,0.88,0.85
68,2021-08-31T00:00:00,Georgian Heights,2638,Owen Sound,GREY-BRUCE,0.88,0.86
69,2021-08-31T00:00:00,Golden Dawn Nursing Home,2705,Lion's Head,GREY-BRUCE,0.89,0.89
70,2021-08-31T00:00:00,Grey Gables Home for the Aged,M606,Markdale,GREY-BRUCE,0.9,0.9
71,2021-08-31T00:00:00,Hanover Care Centre,2770,Hanover,GREY-BRUCE,0.92,0.92
72,2021-08-31T00:00:00,Lee Manor Home,M549,Owen Sound,GREY-BRUCE,0.87,0.85
73,2021-08-31T00:00:00,Maple View,2690,Owen Sound,GREY-BRUCE,0.94,0.94
74,2021-08-31T00:00:00,Meaford Long Term Care - a peopleCare Community,2612,Meaford,GREY-BRUCE,0.97,0.93
75,2021-08-31T00:00:00,Parkview Manor Health Care Centre,1053,Chesley,GREY-BRUCE,0.79,0.79
76,2021-08-31T00:00:00,Pinecrest Manor,2600,Lucknow,GREY-BRUCE,0.89,0.89
77,2021-08-31T00:00:00,Rockwood Terrace Home for the Aged,M570,Durham,GREY-BRUCE,0.81,0.81
78,2021-08-31T00:00:00,Southampton Care Centre,2597,Southampton,GREY-BRUCE,0.93,0.87
79,2021-08-31T00:00:00,Summit Place,2624,Owen Sound,GREY-BRUCE,0.85,0.8
80,2021-08-31T00:00:00,The Village Seniors Community,2599,Hanover,GREY-BRUCE,0.93,0.92
81,2021-08-31T00:00:00,Trillium Court,2773,Kincardine,GREY-BRUCE,0.95,0.94
82,2021-08-31T00:00:00,Anson Place Care Centre,2786,Hagersville,HALDIMAND-NORFOLK,0.8,0.76
83,2021-08-31T00:00:00,Caressant Care Courtland,2826,Courtland,HALDIMAND-NORFOLK,0.83,0.83
84,2021-08-31T00:00:00,Cedarwood Village,2768,Simcoe,HALDIMAND-NORFOLK,0.88,0.83
85,2021-08-31T00:00:00,Delhi Long Term Care Centre,2660,Delhi,HALDIMAND-NORFOLK,0.81,0.81
86,2021-08-31T00:00:00,Dover Cliffs,1056,Port Dover,HALDIMAND-NORFOLK,0.83,0.79
87,2021-08-31T00:00:00,Edgewater Gardens Long Term Care Centre,2963,Dunnville,HALDIMAND-NORFOLK,0.91,0.9
88,2021-08-31T00:00:00,Gardenview Long Term Care Home,2961,Townsend,HALDIMAND-NORFOLK,0.74,0.71
89,2021-08-31T00:00:00,Grandview Lodge / Dunnville,M532,Dunnville,HALDIMAND-NORFOLK,0.83,0.82
90,2021-08-31T00:00:00,Norview Lodge,M624,Simcoe,HALDIMAND-NORFOLK,0.8,0.8
91,2021-08-31T00:00:00,The Norfolk Hospital Nursing Home,2621,Simcoe,HALDIMAND-NORFOLK,0.85,0.82
92,2021-08-31T00:00:00,Burnbrae Gardens Long Term Care Residence,2686,Campbellford,HALIBURTON KAWARTHA PR,0.93,0.9
93,2021-08-31T00:00:00,Caressant Care Lindsay Nursing Home,2701,Lindsay,HALIBURTON KAWARTHA PR,0.94,0.89
94,2021-08-31T00:00:00,Caressant Care on McLaughlin Road,2916,Lindsay,HALIBURTON KAWARTHA PR,0.84,0.63
95,2021-08-31T00:00:00,Case Manor Care Community,958,Bobcaygeon,HALIBURTON KAWARTHA PR,0.83,0.76
96,2021-08-31T00:00:00,Extendicare Cobourg,2851,Cobourg,HALIBURTON KAWARTHA PR,0.9,0.87
97,2021-08-31T00:00:00,Extendicare Haliburton,2644,Haliburton,HALIBURTON KAWARTHA PR,0.91,0.91
98,2021-08-31T00:00:00,Extendicare Kawartha Lakes,2838,Lindsay,HALIBURTON KAWARTHA PR,0.86,0.84
99,2021-08-31T00:00:00,Extendicare Port Hope,2925,Port Hope,HALIBURTON KAWARTHA PR,0.89,0.83
100,2021-08-31T00:00:00,Fenelon Court,2850,Fenelon Falls,HALIBURTON KAWARTHA PR,0.95,0.91
101,2021-08-31T00:00:00,Frost Manor,2703,Lindsay,HALIBURTON KAWARTHA PR,0.92,0.86
102,2021-08-31T00:00:00,Golden Plough Lodge,M531,Cobourg,HALIBURTON KAWARTHA PR,0.9,0.86
103,2021-08-31T00:00:00,Highland Wood,3030,Haliburton,HALIBURTON KAWARTHA PR,0.88,0.86
104,2021-08-31T00:00:00,Hope Street Terrace,2639,Port Hope,HALIBURTON KAWARTHA PR,0.95,0.93
105,2021-08-31T00:00:00,Hyland Crest,3050,Minden,HALIBURTON KAWARTHA PR,1,0.95
106,2021-08-31T00:00:00,Maplewood,2717,Brighton,HALIBURTON KAWARTHA PR,0.81,0.77
107,2021-08-31T00:00:00,Pinecrest Nursing Home (Bobcaygeon),2731,Bobcaygeon,HALIBURTON KAWARTHA PR,0.83,0.74
108,2021-08-31T00:00:00,Regency Long Term Care Home,2511,Port Hope,HALIBURTON KAWARTHA PR,0.93,0.86
109,2021-08-31T00:00:00,Streamway Villa,2666,Cobourg,HALIBURTON KAWARTHA PR,0.94,0.94
110,2021-08-31T00:00:00,Victoria Manor Home for the Aged,M589,Lindsay,HALIBURTON KAWARTHA PR,0.91,0.9
111,2021-08-31T00:00:00,Warkworth Place,2803,Warkworth,HALIBURTON KAWARTHA PR,0.9,0.86
112,2021-08-31T00:00:00,Allendale,M536,Milton,HALTON,0.87,0.78
113,2021-08-31T00:00:00,Bennett Health Care Centre,2816,Georgetown,HALTON,0.98,0.97
114,2021-08-31T00:00:00,Billings Court Manor,2938,Burlington,HALTON,0.76,0.71
115,2021-08-31T00:00:00,Burloak,2857,Burlington,HALTON,0.93,0.89
116,2021-08-31T00:00:00,CAMA Woodlands Nursing Home,2774,Burlington,HALTON,0.92,0.89
117,2021-08-31T00:00:00,Chartwell Brant Centre Long Term Care Residence,2900,Burlington,HALTON,0.95,0.9
118,2021-08-31T00:00:00,Chartwell Waterford Long Term Care Residence,2908,Oakville,HALTON,0.95,0.92
119,2021-08-31T00:00:00,Creek Way Village,M623,Burlington,HALTON,0.91,0.87
120,2021-08-31T00:00:00,Extendicare Halton Hills,2892,Georgetown,HALTON,0.93,0.87
121,2021-08-31T00:00:00,Hampton Terrace Care Centre,2846,Burlington,HALTON,0.88,0.87
122,2021-08-31T00:00:00,Maple Villa Long Term Care Centre,2408,Burlington,HALTON,0.94,0.91
123,2021-08-31T00:00:00,Mount Nemo Christian Nursing Home,2577,Burlington,HALTON,0.84,0.8
124,2021-08-31T00:00:00,Northridge,2862,Oakville,HALTON,0.89,0.88
125,2021-08-31T00:00:00,Post Inn Village,M620,Oakville,HALTON,0.9,0.87
126,2021-08-31T00:00:00,The Village of Tansley Woods,2854,Burlington,HALTON,0.97,0.95
127,2021-08-31T00:00:00,Wellington Park Care Centre,1023,Burlington,HALTON,0.87,0.79
128,2021-08-31T00:00:00,West Oak Village,2870,Oakville,HALTON,0.97,0.9
129,2021-08-31T00:00:00,Wyndham Manor Long Term Care Centre,2910,Oakville,HALTON,0.97,0.93
130,2021-08-31T00:00:00,Alexander Place,2861,Waterdown,HAMILTON,1,0.89
131,2021-08-31T00:00:00,Arbour Creek Long-Term Care Centre,2930,Hamilton,HAMILTON,0.87,0.84
132,2021-08-31T00:00:00,BayWoods Place,2581,Hamilton,HAMILTON,0.9,0.84
133,2021-08-31T00:00:00,Blackadar Continuing Care Centre,2641,Dundas,HAMILTON,0.94,0.84
134,2021-08-31T00:00:00,Chartwell Willowgrove Long Term Care Residence,2921,Ancaster,HAMILTON,0.95,0.92
135,2021-08-31T00:00:00,Clarion Nursing Home,2721,Stoney Creek,HAMILTON,0.84,0.8
136,2021-08-31T00:00:00,Dundurn Place Care Centre,2739,Hamilton,HAMILTON,0.92,0.89
137,2021-08-31T00:00:00,Extendicare Hamilton,2858,Hamilton,HAMILTON,0.91,0.89
138,2021-08-31T00:00:00,Grace Villa Nursing Home,2741,Hamilton,HAMILTON,0.73,0.67
139,2021-08-31T00:00:00,Hamilton Continuing Care,2706,Hamilton,HAMILTON,0.84,0.78
140,2021-08-31T00:00:00,Heritage Green Nursing Home,2776,Stoney Creek,HAMILTON,0.81,0.71
141,2021-08-31T00:00:00,Idlewyld Manor,2931,Hamilton,HAMILTON,0.93,0.91
142,2021-08-31T00:00:00,Macassa Lodge,M552,Hamilton,HAMILTON,0.91,0.86
143,2021-08-31T00:00:00,Orchard Terrace Care Centre,2477,Stoney Creek,HAMILTON,0.85,0.77
144,2021-08-31T00:00:00,Parkview Nursing Centre,2700,Hamilton,HAMILTON,0.89,0.88
145,2021-08-31T00:00:00,Pine Villa Nursing Home,2750,Stoney Creek,HAMILTON,0.83,0.8
146,2021-08-31T00:00:00,Queen's Garden,2853,Hamilton,HAMILTON,0.93,0.89
147,2021-08-31T00:00:00,Regina Gardens,2922,Hamilton,HAMILTON,0.91,0.87
148,2021-08-31T00:00:00,Ridgeview,2849,Stoney Creek,HAMILTON,0.89,0.86
149,2021-08-31T00:00:00,Shalom Village Nursing Home,2775,Hamilton,HAMILTON,0.88,0.86
150,2021-08-31T00:00:00,"St. Joseph's Villa, Dundas",2975,Dundas,HAMILTON,0.81,0.73
151,2021-08-31T00:00:00,St. Peter's Residence at Chedoke,2927,Hamilton,HAMILTON,0.89,0.85
152,2021-08-31T00:00:00,The Meadows,2844,Ancaster,HAMILTON,0.92,0.9
153,2021-08-31T00:00:00,The Village of Wentworth Heights,2841,Hamilton,HAMILTON,0.95,0.84
154,2021-08-31T00:00:00,The Wellington Nursing Home,2784,Hamilton,HAMILTON,0.94,0.9
155,2021-08-31T00:00:00,Victoria Gardens Long Term Care,2806,Hamilton,HAMILTON,0.89,0.87
156,2021-08-31T00:00:00,Wentworth Lodge,M592,Dundas,HAMILTON,0.93,0.9
157,2021-08-31T00:00:00,Belmont Long Term Care Facility,2901,Belleville,HASTINGS PRINCE EDWARD,0.89,0.84
158,2021-08-31T00:00:00,Caressant Care Marmora,2718,Marmora,HASTINGS PRINCE EDWARD,0.88,0.86
159,2021-08-31T00:00:00,Crown Ridge Place,2787,Trenton,HASTINGS PRINCE EDWARD,0.86,0.85
160,2021-08-31T00:00:00,E. J. McQuigge Lodge,2668,Cannifton,HASTINGS PRINCE EDWARD,1,0.98
161,2021-08-31T00:00:00,H.J. McFarland Memorial Home,M556,Picton,HASTINGS PRINCE EDWARD,0.94,0.93
162,2021-08-31T00:00:00,Hallowell House,891,Picton,HASTINGS PRINCE EDWARD,0.89,0.88
163,2021-08-31T00:00:00,Hastings Centennial Manor,M537,Bancroft,HASTINGS PRINCE EDWARD,0.73,0.67
164,2021-08-31T00:00:00,Hastings Manor Home for the Aged,M538,Belleville,HASTINGS PRINCE EDWARD,0.84,0.76
165,2021-08-31T00:00:00,Kentwood Park,893,Picton,HASTINGS PRINCE EDWARD,0.93,0.81
166,2021-08-31T00:00:00,Moira Place Long-Term Care Home,2977,Tweed,HASTINGS PRINCE EDWARD,0.85,0.8
167,2021-08-31T00:00:00,Stirling Manor Nursing Home,2470,Stirling,HASTINGS PRINCE EDWARD,0.85,0.83
168,2021-08-31T00:00:00,Trent Valley Lodge,2337,Trenton,HASTINGS PRINCE EDWARD,0.86,0.82
169,2021-08-31T00:00:00,West Lake Terrace,997,Picton,HASTINGS PRINCE EDWARD,0.95,0.88
170,2021-08-31T00:00:00,Westgate Lodge Nursing Home,2623,Belleville,HASTINGS PRINCE EDWARD,0.76,0.72
171,2021-08-31T00:00:00,Blue Water Rest Home,2987,Zurich,HURON-PERTH,0.96,0.93
172,2021-08-31T00:00:00,Braemar Retirement Centre,2788,Wingham,HURON-PERTH,0.73,0.72
173,2021-08-31T00:00:00,Caressant Care Listowel Nursing Home,2664,Listowel,HURON-PERTH,0.84,0.76
174,2021-08-31T00:00:00,Exeter Villa,2749,Exeter,HURON-PERTH,0.98,0.92
175,2021-08-31T00:00:00,Greenwood Court,3023,Stratford,HURON-PERTH,0.87,0.85
176,2021-08-31T00:00:00,Hillside Manor,1975,Stratford,HURON-PERTH,0.9,0.84
177,2021-08-31T00:00:00,Huronlea Home for the Aged,M601,Brussels,HURON-PERTH,0.76,0.76
178,2021-08-31T00:00:00,Huronview Home for the Aged,M541,Clinton,HURON-PERTH,0.7,0.67
179,2021-08-31T00:00:00,Kingsway Lodge Nursing Home,2726,St. Marys,HURON-PERTH,0.98,0.98
180,2021-08-31T00:00:00,Knollcrest Lodge,2996,Milverton,HURON-PERTH,0.8,0.79
181,2021-08-31T00:00:00,Maitland Manor,965,Goderich,HURON-PERTH,0.89,0.85
182,2021-08-31T00:00:00,Mitchell Nursing Home,2689,Mitchell,HURON-PERTH,0.93,0.88
183,2021-08-31T00:00:00,Queensway Long Term Care Home,933,Hensall,HURON-PERTH,0.98,0.95
184,2021-08-31T00:00:00,Ritz Lutheran Villa,3007,Mitchell,HURON-PERTH,0.93,0.88
185,2021-08-31T00:00:00,Seaforth Long Term Care Home,1135,Seaforth,HURON-PERTH,0.94,0.94
186,2021-08-31T00:00:00,Spruce Lodge Home for the Aged,M575,Stratford,HURON-PERTH,0.94,0.94
187,2021-08-31T00:00:00,The Fordwich Village Nursing Home,995,Fordwich,HURON-PERTH,1,1
188,2021-08-31T00:00:00,Wildwood Care Centre,2802,St. Marys,HURON-PERTH,0.95,0.9
189,2021-08-31T00:00:00,Arbour Heights,2982,Kingston,KINGSTON FRONTENAC L & A,0.95,0.94
190,2021-08-31T00:00:00,Extendicare Kingston,2616,Kingston,KINGSTON FRONTENAC L & A,0.97,0.89
191,2021-08-31T00:00:00,Fairmount Home for the Aged,M521,Glenburnie,KINGSTON FRONTENAC L & A,0.99,0.98
192,2021-08-31T00:00:00,Friendly Manor Nursing Home,934,Deseronto,KINGSTON FRONTENAC L & A,0.91,0.88
193,2021-08-31T00:00:00,Helen Henderson Nursing Home,2728,Amherstview,KINGSTON FRONTENAC L & A,0.9,0.84
194,2021-08-31T00:00:00,Lennox and Addington County General Hospital,7089,Napanee,KINGSTON FRONTENAC L & A,0.9,0.87
195,2021-08-31T00:00:00,Pine Meadow Nursing Home,2796,Northbrook,KINGSTON FRONTENAC L & A,0.79,0.73
196,2021-08-31T00:00:00,Providence Manor,3005,Kingston,KINGSTON FRONTENAC L & A,0.9,0.85
197,2021-08-31T00:00:00,Rideaucrest Home,M569,Kingston,KINGSTON FRONTENAC L & A,0.93,0.9
198,2021-08-31T00:00:00,The John M. Parrott Centre,M625,Napanee,KINGSTON FRONTENAC L & A,0.97,0.92
199,2021-08-31T00:00:00,The Village Green Nursing Home,2681,Selby,KINGSTON FRONTENAC L & A,0.89,0.89
200,2021-08-31T00:00:00,Trillium Retirement and Care Community,2790,Kingston,KINGSTON FRONTENAC L & A,0.99,0.98
201,2021-08-31T00:00:00,Afton Park Place Long Term Care Community,2872,Sarnia,LAMBTON,0.87,0.71
202,2021-08-31T00:00:00,Fiddick's Nursing Home,2673,Petrolia,LAMBTON,0.92,0.89
203,2021-08-31T00:00:00,Lambton Meadowview Villa,M547,Petrolia,LAMBTON,0.83,0.79
204,2021-08-31T00:00:00,Marshall Gowland Manor,M613,Sarnia,LAMBTON,0.91,0.88
205,2021-08-31T00:00:00,North Lambton Lodge,M559,Forest,LAMBTON,0.89,0.87
206,2021-08-31T00:00:00,Sumac Lodge,2573,Sarnia,LAMBTON,0.87,0.81
207,2021-08-31T00:00:00,Trillium Villa Nursing Home,2217,Sarnia,LAMBTON,0.88,0.87
208,2021-08-31T00:00:00,Twin Lakes Terrace Long Term Care Community,2889,Sarnia,LAMBTON,0.81,0.73
209,2021-08-31T00:00:00,Vision Nursing Home,2659,Sarnia,LAMBTON,0.89,0.84
210,2021-08-31T00:00:00,Watford Quality Care Centre,2652,Watford,LAMBTON,0.96,0.96
211,2021-08-31T00:00:00,Almonte Country Haven,2692,Almonte,"LEEDS,GRENVILLE,LANARK",1,0.99
212,2021-08-31T00:00:00,Bayfield Manor,2772,Kemptville,"LEEDS,GRENVILLE,LANARK",0.97,0.87
213,2021-08-31T00:00:00,Broadview Nursing Centre,2684,Smiths Falls,"LEEDS,GRENVILLE,LANARK",0.88,0.8
214,2021-08-31T00:00:00,Carveth Care Centre,2683,Gananoque,"LEEDS,GRENVILLE,LANARK",0.95,0.94
215,2021-08-31T00:00:00,Fairview Manor,2973,Almonte,"LEEDS,GRENVILLE,LANARK",0.88,0.88
216,2021-08-31T00:00:00,Hilltop Manor Nursing Home (Merrickville),2645,Merrickville,"LEEDS,GRENVILLE,LANARK",0.98,0.98
217,2021-08-31T00:00:00,Kemptville District Hospital,7073,Kemptville,"LEEDS,GRENVILLE,LANARK",0.92,0.91
218,2021-08-31T00:00:00,Lanark Lodge,M548,Perth,"LEEDS,GRENVILLE,LANARK",0.88,0.86
219,2021-08-31T00:00:00,Maple View Lodge,M554,Athens,"LEEDS,GRENVILLE,LANARK",0.87,0.86
220,2021-08-31T00:00:00,Perth Community Care Centre,962,Perth,"LEEDS,GRENVILLE,LANARK",0.74,0.71
221,2021-08-31T00:00:00,Rosebridge Manor,2671,Jasper,"LEEDS,GRENVILLE,LANARK",0.91,0.88
222,2021-08-31T00:00:00,Sherwood Park Manor,2640,Brockville,"LEEDS,GRENVILLE,LANARK",0.83,0.75
223,2021-08-31T00:00:00,St. Lawrence Lodge,M576,Brockville,"LEEDS,GRENVILLE,LANARK",0.82,0.82
224,2021-08-31T00:00:00,Stoneridge Manor,2637,Carleton Place,"LEEDS,GRENVILLE,LANARK",0.88,0.81
225,2021-08-31T00:00:00,Wellington House Nursing Home,2807,Prescott,"LEEDS,GRENVILLE,LANARK",0.95,0.85
226,2021-08-31T00:00:00,Babcock Community Care Centre,2626,Wardsville,MIDDLESEX-LONDON,0.86,0.86
227,2021-08-31T00:00:00,Chartwell London Long Term Care Residence,2919,London,MIDDLESEX-LONDON,0.96,0.93
228,2021-08-31T00:00:00,Chartwell Parkhill Long Term Care Residence,2632,Parkhill,MIDDLESEX-LONDON,0.9,0.86
229,2021-08-31T00:00:00,Chelsey Park,2655,London,MIDDLESEX-LONDON,0.95,0.89
230,2021-08-31T00:00:00,Country Terrace,907,Komoka,MIDDLESEX-LONDON,0.88,0.86
231,2021-08-31T00:00:00,Craigholme,2622,Ailsa Craig,MIDDLESEX-LONDON,0.84,0.72
232,2021-08-31T00:00:00,Dearness Home for Senior Citizens,M514,London,MIDDLESEX-LONDON,0.88,0.82
233,2021-08-31T00:00:00,Earls Court Village,3047,London,MIDDLESEX-LONDON,0.89,0.85
234,2021-08-31T00:00:00,Elmwood Place,3054,London,MIDDLESEX-LONDON,0.97,0.92
235,2021-08-31T00:00:00,Extendicare London,2173,London,MIDDLESEX-LONDON,0.91,0.86
236,2021-08-31T00:00:00,Henley Place,3045,London,MIDDLESEX-LONDON,0.76,0.65
237,2021-08-31T00:00:00,Kensington Village,2729,London,MIDDLESEX-LONDON,0.91,0.9
238,2021-08-31T00:00:00,McCormick Home,2965,London,MIDDLESEX-LONDON,1,0.98
239,2021-08-31T00:00:00,McGarrell Place,2964,London,MIDDLESEX-LONDON,0.92,0.9
240,2021-08-31T00:00:00,Meadow Park (London),2643,London,MIDDLESEX-LONDON,0.95,0.92
241,2021-08-31T00:00:00,Middlesex Terrace,1030,Delaware,MIDDLESEX-LONDON,0.86,0.83
242,2021-08-31T00:00:00,Mount Hope Centre for Long Term Care,C596,London,MIDDLESEX-LONDON,1,0.96
243,2021-08-31T00:00:00,Oneida Nation of the Thames Long-Term Care Home (Tsi' Nu: yoyantle' Na' Tuhuwati,3042,Southwold,MIDDLESEX-LONDON,0.96,0.93
244,2021-08-31T00:00:00,peopleCare Oakcrossing London,2980,London,MIDDLESEX-LONDON,0.91,0.87
245,2021-08-31T00:00:00,Sprucedale Care Centre,2946,Strathroy,MIDDLESEX-LONDON,0.9,0.88
246,2021-08-31T00:00:00,Strathmere Lodge,M627,Strathroy,MIDDLESEX-LONDON,0.85,0.83
247,2021-08-31T00:00:00,The Village of Glendale Crossing,2979,London,MIDDLESEX-LONDON,0.87,0.57
248,2021-08-31T00:00:00,Westmount Gardens Long Term Care Home,2878,London,MIDDLESEX-LONDON,0.95,0.92
249,2021-08-31T00:00:00,"Albright Gardens Homes, Incorporated",2983,Beamsville,NIAGARA,0.81,0.78
250,2021-08-31T00:00:00,Bella Senior Care Residences,2890,Niagara Falls,NIAGARA,0.78,0.75
251,2021-08-31T00:00:00,Crescent Park Lodge,2587,Fort Erie,NIAGARA,0.86,0.83
252,2021-08-31T00:00:00,Deer Park Villa,M611,Grimsby,NIAGARA,0.84,0.79
253,2021-08-31T00:00:00,Douglas H. Rapelje Lodge,M604,Welland,NIAGARA,0.89,0.87
